c7,c10,c144,c151,c30,c31,c35,c106,c108,c117,c62,c65,c41,c49,c56,c128,c51,c101,c109,c156,c1
4.0,19.0,10.0,1.0,5.0,0.09692974903155879,1617.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.026561550877278593,14.0,7.0,6.0,1.0,3.0,0
4.0,13.0,10.0,1.0,4.0,0.07232115355638376,1559.0,1.0,18.0,5.0,0.0,0.0,13.0,2.0,0.003420805794801031,76.0,9.0,11.0,1.0,3.0,0
4.0,12.0,10.0,1.0,5.0,0.09984604216382714,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.04024477405648272,14.0,9.0,13.0,1.0,3.0,0
4.0,16.0,20.0,1.0,5.0,0.13882168195333053,1093.0,1.0,3.0,0.0,0.08145409071784657,0.0,3.0,0.0,0.13079551568356884,86.0,14.0,13.0,1.0,3.0,0
4.0,14.0,10.0,1.0,5.0,0.209301204146419,1604.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.64612984747683,206.0,9.0,11.0,1.0,3.0,0
5.0,12.0,10.0,1.0,5.0,0.08012653227807542,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.0400435501862003,14.0,9.0,13.0,1.0,3.0,0
5.0,16.0,20.0,1.0,5.0,0.19419673029854367,1201.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,3.0,0.4829372886777926,180.0,9.0,13.0,1.0,3.0,0
5.0,19.0,10.0,1.0,5.0,0.1624260685029804,1184.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.42619215725815196,126.0,7.0,13.0,2.0,3.0,0
5.0,0.0,10.0,1.0,5.0,0.17695629646545494,1604.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,0.0,0.4020452928242623,174.0,11.0,11.0,1.0,3.0,0
5.0,19.0,10.0,1.0,5.0,0.15635396997487003,1187.0,1.0,3.0,0.0,0.12218113607676984,0.0,1.0,2.0,0.12073432216944815,14.0,12.0,13.0,1.0,3.0,0
5.0,20.0,21.0,2.0,5.0,0.15075252964837227,1665.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.27909750808170763,52.0,1.0,6.0,3.0,3.0,0
5.0,14.0,20.0,1.0,5.0,0.07648115981770708,1581.0,1.0,18.0,0.0,0.0,0.0,13.0,2.0,0.022939521212195148,89.0,13.0,11.0,1.0,3.0,0
5.0,16.0,7.0,1.0,5.0,0.3017648828708649,2680.0,1.0,18.0,7.0,0.0,0.0,3.0,2.0,1.0799685118057136,211.0,11.0,12.0,1.0,10.0,0
5.0,19.0,10.0,1.0,5.0,0.09692974903155879,1187.0,0.0,3.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.026561550877278593,14.0,9.0,13.0,3.0,3.0,0
5.0,16.0,10.0,1.0,5.0,0.07270713293712193,1560.0,1.0,18.0,5.0,0.0,0.0,13.0,2.0,0.005231820627342753,161.0,4.0,11.0,1.0,3.0,0
5.0,19.0,10.0,1.0,5.0,0.17471782884233164,1560.0,1.0,20.0,0.0,0.08145409071784657,0.0,3.0,2.0,0.299219895109949,126.0,11.0,13.0,1.0,3.0,0
5.0,16.0,20.0,1.0,5.0,0.13985931588077521,1218.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.2279866450299746,180.0,2.0,13.0,1.0,3.0,0
5.0,12.0,7.0,1.0,5.0,0.11718062536933492,280.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.21390097411020564,150.0,11.0,1.0,1.0,3.0,0
5.0,20.0,20.0,1.0,5.0,0.07360775417885895,1642.0,0.0,3.0,0.0,0.0,0.0,13.0,2.0,0.009457521903273439,149.0,9.0,11.0,1.0,3.0,0
5.0,16.0,20.0,1.0,5.0,0.15860080392352802,1098.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,0.0,0.31592147634338935,86.0,0.0,13.0,2.0,3.0,0
5.0,14.0,27.0,1.0,5.0,0.07643828038433072,530.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.022738297341912735,28.0,13.0,1.0,1.0,3.0,0
5.0,12.0,10.0,1.0,5.0,0.18516545114474472,206.0,1.0,18.0,0.0,0.16290818143569313,0.0,3.0,2.0,0.16359500653960224,126.0,12.0,13.0,1.0,3.0,0
5.0,12.0,10.0,1.0,5.0,0.13402672961623852,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,2.0,0.20062019867156636,126.0,9.0,13.0,1.0,3.0,0
5.0,20.0,21.0,2.0,5.0,0.13115332397739038,1165.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.18713819936264464,52.0,9.0,13.0,3.0,3.0,0
6.0,12.0,10.0,1.0,5.0,0.09071954165177476,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.08974584614595646,14.0,9.0,13.0,1.0,3.0,0
6.0,21.0,27.0,1.0,0.0,0.20561294419263043,2006.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.6288245946325425,39.0,11.0,13.0,1.0,4.0,0
6.0,14.0,10.0,1.0,5.0,0.13497858855684275,1749.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.2974088802774073,126.0,4.0,10.0,1.0,3.0,0
6.0,19.0,10.0,1.0,5.0,0.10241924340877755,1608.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.05231820627342753,14.0,9.0,13.0,2.0,3.0,0
6.0,16.0,20.0,1.0,5.0,0.08325725481740104,1159.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.05473289271681649,49.0,9.0,13.0,1.0,3.0,0
6.0,14.0,11.0,2.0,5.0,0.2373407426749051,240.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,0.0,0.6853685021819007,114.0,11.0,2.0,1.0,2.0,0
6.0,0.0,20.0,1.0,4.0,0.09282098852914654,2014.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.09960581578979473,179.0,11.0,1.0,1.0,4.0,0
6.0,20.0,21.0,2.0,5.0,0.1436417010268512,1665.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.3380561020744548,78.0,11.0,0.0,3.0,3.0,0
6.0,0.0,20.0,1.0,4.0,0.08321437538402468,1182.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.054531668846534084,89.0,11.0,1.0,1.0,3.0,0
6.0,11.0,20.0,1.0,5.0,0.1963923184882906,2006.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.5855614625218235,82.0,11.0,1.0,1.0,4.0,0
7.0,20.0,21.0,2.0,5.0,0.5375736530078293,1071.0,1.0,12.0,0.0,0.12218113607676984,0.0,5.0,2.0,1.9094133051098225,84.0,11.0,2.0,1.0,3.0,0
7.0,12.0,10.0,1.0,5.0,0.11557709576193644,206.0,1.0,18.0,0.0,0.08145409071784657,0.0,1.0,2.0,0.021732177990500666,14.0,9.0,13.0,1.0,3.0,0
